"","Class: C1","Class: C2","Class: C3","Class: C4","Class: C5","Class: C6","Class: C7"
"Sensitivity",0.777292576419214,0.681592039800995,0.887892376681614,0.956310679611651,0.952789699570815,0.900943396226415,0.980769230769231
"Specificity",0.965705378020265,0.97025171624714,0.980605120248254,0.990045941807044,0.982017200938233,0.98,0.988496932515337
"Pos Pred Value",0.801801801801802,0.778409090909091,0.887892376681614,0.938095238095238,0.906122448979592,0.880184331797235,0.931506849315069
"Neg Pred Value",0.96046511627907,0.952095808383233,0.980605120248255,0.993087557603687,0.991318074191002,0.983783783783784,0.996906419180201
"Prevalence",0.151455026455026,0.132936507936508,0.147486772486772,0.136243386243386,0.154100529100529,0.14021164021164,0.137566137566138
"Detection Rate",0.117724867724868,0.0906084656084656,0.130952380952381,0.130291005291005,0.146825396825397,0.126322751322751,0.134920634920635
"Detection Prevalence",0.146825396825397,0.116402116402116,0.147486772486772,0.138888888888889,0.162037037037037,0.143518518518519,0.14484126984127
"Balanced Accuracy",0.871498977219739,0.825921878024067,0.934248748464934,0.973178310709347,0.967403450254524,0.940471698113208,0.984633081642284
