"","Class: C1","Class: C2","Class: C3","Class: C4","Class: C5","Class: C6","Class: C7"
"Sensitivity",0.994490358126722,0.984192037470726,0.97198275862069,1,0.949602122015915,0.985507246376812,0.976
"Specificity",0.989991885312415,0.991850683491062,0.999405705229794,0.997915877226222,0.999610516066212,0.999607689289918,0.999800478850758
"Pos Pred Value",0.979913137893594,0.981892523364486,0.993392070484582,0.955102040816328,0.994444444444445,0.995121951219512,0.997955010224949
"Neg Pred Value",0.997275204359673,0.992894736842105,0.997429814155793,1,0.996312111801242,0.998823990591925,0.997610989448537
"Prevalence",0.329281567489115,0.309869375907112,0.0841799709724238,0.0424528301886792,0.0683962264150943,0.0751088534107402,0.090711175616836
"Detection Rate",0.327467343976778,0.304970972423803,0.0818214804063861,0.0424528301886792,0.0649492017416546,0.0740203193033382,0.0885341074020319
"Detection Prevalence",0.334179970972424,0.310595065312046,0.0823657474600871,0.0444484760522496,0.0653120464441219,0.0743831640058055,0.0887155297532656
"Balanced Accuracy",0.992241121719569,0.988021360480894,0.985694231925242,0.998957938613111,0.974606319041064,0.992557467833365,0.987900239425379
