"","Class: C1","Class: C2","Class: C3","Class: C4","Class: C5","Class: C6","Class: C7"
"Sensitivity",0.77292576419214,0.706467661691542,0.878923766816143,0.956310679611651,0.96137339055794,0.910377358490566,0.985576923076923
"Specificity",0.970381917381138,0.97254004576659,0.981380915438324,0.990811638591118,0.980453479280688,0.979230769230769,0.987730061349693
"Pos Pred Value",0.823255813953489,0.797752808988764,0.890909090909091,0.942583732057416,0.899598393574297,0.877272727272727,0.927601809954751
"Neg Pred Value",0.959907478797224,0.955772113943028,0.979102167182663,0.993092862624712,0.992874109263658,0.985294117647059,0.997676219984508
"Prevalence",0.151455026455026,0.132936507936508,0.147486772486772,0.136243386243386,0.154100529100529,0.14021164021164,0.137566137566138
"Detection Rate",0.117063492063492,0.0939153439153439,0.12962962962963,0.130291005291005,0.148148148148148,0.127645502645503,0.135582010582011
"Detection Prevalence",0.142195767195767,0.117724867724868,0.145502645502645,0.138227513227513,0.16468253968254,0.145502645502645,0.146164021164021
"Balanced Accuracy",0.871653840786639,0.839503853729066,0.930152341127234,0.973561159101384,0.970913434919314,0.944804063860668,0.986653492213308
