"","Class: C1","Class: C2","Class: C3","Class: C4","Class: C5","Class: C6","Class: C7"
"Sensitivity",0.99504132231405,0.984192037470726,0.96551724137931,1,0.952254641909814,0.98792270531401,0.972
"Specificity",0.989180416553963,0.992376445846477,0.999603803486529,0.997726411519515,0.999415774099318,0.999411533934876,1
"Pos Pred Value",0.978331527627302,0.983040935672515,0.995555555555556,0.951219512195123,0.99171270718232,0.992718446601942,1
"Neg Pred Value",0.997545008183306,0.992898474487112,0.996839193994469,1,0.996504854368932,0.999019607843137,0.997214484679666
"Prevalence",0.329281567489115,0.309869375907112,0.0841799709724238,0.0424528301886792,0.0683962264150943,0.0751088534107402,0.090711175616836
"Detection Rate",0.327648766328012,0.304970972423803,0.081277213352685,0.0424528301886792,0.0651306240928883,0.0742017416545718,0.0881712626995646
"Detection Prevalence",0.334905660377358,0.310232220609579,0.0816400580551524,0.0446298984034833,0.0656748911465893,0.0747460087082729,0.0881712626995646
"Balanced Accuracy",0.992110869434006,0.988284241658602,0.98256052243292,0.998863205759758,0.975835208004566,0.993667119624443,0.986
