"","Class: C1","Class: C2","Class: C3","Class: C4","Class: C5","Class: C6","Class: C7"
"Sensitivity",0.992837465564738,0.984777517564403,0.96551724137931,1,0.962864721485411,0.985507246376812,0.978
"Specificity",0.990262374898566,0.992376445846477,0.999603803486529,0.997347480106101,0.999610516066212,0.999411533934876,1
"Pos Pred Value",0.980413492927095,0.983050847457627,0.995555555555556,0.943548387096773,0.994520547945206,0.992700729927008,1
"Neg Pred Value",0.996461622210125,0.993159694817153,0.996839193994469,1,0.99727996891393,0.99882376004705,0.997810073661159
"Prevalence",0.329281567489115,0.309869375907112,0.0841799709724238,0.0424528301886792,0.0683962264150943,0.0751088534107402,0.090711175616836
"Detection Rate",0.326923076923077,0.305152394775036,0.081277213352685,0.0424528301886792,0.0658563134978229,0.0740203193033382,0.0887155297532656
"Detection Prevalence",0.333454281567489,0.310413642960813,0.0816400580551524,0.0449927431059507,0.0662191582002903,0.0745645863570392,0.0887155297532656
"Balanced Accuracy",0.991549920231652,0.98857698170544,0.98256052243292,0.99867374005305,0.981237618775812,0.992459390155844,0.989
