"","Class: C1","Class: C2","Class: C3","Class: C4","Class: C5","Class: C6","Class: C7"
"Sensitivity",0.99228650137741,0.984777517564403,0.967672413793103,1,0.96551724137931,0.985507246376812,0.972
"Specificity",0.989450906140114,0.992639327024185,0.999603803486529,0.997536945812808,0.999415774099318,0.999607689289918,0.999800478850758
"Pos Pred Value",0.978804347826087,0.983625730994152,0.995565410199557,0.947368421052631,0.991825613079019,0.995121951219512,0.997946611909651
"Neg Pred Value",0.996187363834423,0.993161493950552,0.997036158861885,1,0.997473275024295,0.998823990591925,0.997213930348259
"Prevalence",0.329281567489115,0.309869375907112,0.0841799709724238,0.0424528301886792,0.0683962264150943,0.0751088534107402,0.090711175616836
"Detection Rate",0.326741654571843,0.305152394775036,0.0814586357039187,0.0424528301886792,0.0660377358490566,0.0740203193033382,0.0881712626995646
"Detection Prevalence",0.333817126269956,0.310232220609579,0.0818214804063861,0.044811320754717,0.0665820029027576,0.0743831640058055,0.0883526850507983
"Balanced Accuracy",0.990868703758762,0.988708422294294,0.983638108639816,0.998768472906404,0.982466507739314,0.992557467833365,0.985900239425379
