"","Class: C1","Class: C2","Class: C3","Class: C4","Class: C5","Class: C6","Class: C7"
"Sensitivity",0.755458515283843,0.671641791044776,0.887892376681614,0.956310679611651,0.957081545064378,0.89622641509434,0.975961538461538
"Specificity",0.966484801247077,0.969488939740656,0.978277734678045,0.989280245022971,0.980453479280688,0.98,0.986963190184049
"Pos Pred Value",0.800925925925926,0.771428571428571,0.876106194690266,0.933649289099526,0.899193548387097,0.87962962962963,0.922727272727273
"Neg Pred Value",0.95679012345679,0.950635751682872,0.980559875583204,0.993082244427364,0.992088607594937,0.983024691358025,0.996130030959752
"Prevalence",0.151455026455026,0.132936507936508,0.147486772486772,0.136243386243386,0.154100529100529,0.14021164021164,0.137566137566138
"Detection Rate",0.114417989417989,0.0892857142857143,0.130952380952381,0.130291005291005,0.147486772486772,0.125661375661376,0.134259259259259
"Detection Prevalence",0.142857142857143,0.115740740740741,0.149470899470899,0.139550264550265,0.164021164021164,0.142857142857143,0.145502645502645
"Balanced Accuracy",0.86097165826546,0.820565365392716,0.93308505567983,0.972795462317311,0.968767512172533,0.93811320754717,0.981462364322794
