"","Class: C1","Class: C2","Class: C3","Class: C4","Class: C5","Class: C6","Class: C7"
"Sensitivity",0.77292576419214,0.711442786069652,0.901345291479821,0.966019417475728,0.96137339055794,0.905660377358491,0.990384615384615
"Specificity",0.97116134060795,0.969488939740656,0.981380915438324,0.990811638591118,0.983580922595778,0.983846153846154,0.988496932515337
"Pos Pred Value",0.827102803738318,0.781420765027322,0.893333333333333,0.943127962085308,0.914285714285715,0.901408450704225,0.932126696832579
"Neg Pred Value",0.959938366718028,0.956358164033108,0.982905982905983,0.994619523443505,0.992896606156275,0.984603541185527,0.998450813323005
"Prevalence",0.151455026455026,0.132936507936508,0.147486772486772,0.136243386243386,0.154100529100529,0.14021164021164,0.137566137566138
"Detection Rate",0.117063492063492,0.0945767195767196,0.132936507936508,0.131613756613757,0.148148148148148,0.126984126984127,0.136243386243386
"Detection Prevalence",0.141534391534392,0.121031746031746,0.148809523809524,0.139550264550265,0.162037037037037,0.140873015873016,0.146164021164021
"Balanced Accuracy",0.872043552400045,0.840465862905154,0.941363103459072,0.978415528033423,0.972477156576859,0.944753265602322,0.989440773949976
