"","Class: C1","Class: C2","Class: C3","Class: C4","Class: C5","Class: C6","Class: C7"
"Sensitivity",0.992837465564738,0.982435597189696,0.956896551724138,1,0.946949602122016,0.980676328502415,0.964
"Specificity",0.987016499864755,0.990010515247108,0.999405705229794,0.997347480106101,0.999415774099318,0.999411533934876,1
"Pos Pred Value",0.974054054054054,0.977855477855478,0.993288590604027,0.943548387096773,0.991666666666666,0.992665036674817,1
"Neg Pred Value",0.996450027307482,0.992096944151739,0.996051332675222,1,0.99611801242236,0.998432294728591,0.996421471172962
"Prevalence",0.329281567489115,0.309869375907112,0.0841799709724238,0.0424528301886792,0.0683962264150943,0.0751088534107402,0.090711175616836
"Detection Rate",0.326923076923077,0.304426705370102,0.0805515239477504,0.0424528301886792,0.0647677793904209,0.0736574746008708,0.0874455732946299
"Detection Prevalence",0.335631349782293,0.311320754716981,0.0810957910014514,0.0449927431059507,0.0653120464441219,0.0742017416545718,0.0874455732946299
"Balanced Accuracy",0.989926982714747,0.986223056218402,0.978151128476966,0.99867374005305,0.973182688110667,0.990043931218646,0.982
