"","Class: C1","Class: C2","Class: C3","Class: C4","Class: C5","Class: C6","Class: C7"
"Sensitivity",0.768844221105528,0.760765550239234,0.840909090909091,0.966183574879227,0.94170403587444,0.892703862660944,0.972850678733032
"Specificity",0.980959634424981,0.969301611665388,0.979102167182663,0.986206896551724,0.975950349107836,0.975762314308053,0.992254066615027
"Pos Pred Value",0.859550561797752,0.798994974874372,0.872641509433962,0.91743119266055,0.871369294605809,0.870292887029289,0.955555555555556
"Neg Pred Value",0.96551724137931,0.961919268849962,0.973076923076923,0.994590417310665,0.989771833202203,0.980361351139042,0.995337995337995
"Prevalence",0.131613756613757,0.138227513227513,0.145502645502645,0.136904761904762,0.147486772486772,0.154100529100529,0.146164021164021
"Detection Rate",0.101190476190476,0.10515873015873,0.122354497354497,0.132275132275132,0.138888888888889,0.137566137566138,0.142195767195767
"Detection Prevalence",0.117724867724868,0.131613756613757,0.14021164021164,0.144179894179894,0.159391534391534,0.158068783068783,0.148809523809524
"Balanced Accuracy",0.874901927765254,0.865033580952311,0.910005629045877,0.976195235715476,0.958827192491138,0.934233088484499,0.982552372674029
