"","Class: C1","Class: C2","Class: C3","Class: C4","Class: C5","Class: C6","Class: C7"
"Sensitivity",0.777292576419214,0.676616915422886,0.887892376681614,0.956310679611651,0.96137339055794,0.905660377358491,0.980769230769231
"Specificity",0.965705378020265,0.971014492753623,0.982156710628394,0.990045941807044,0.981235340109461,0.980769230769231,0.987730061349693
"Pos Pred Value",0.801801801801802,0.781609195402299,0.895927601809955,0.938095238095238,0.903225806451613,0.88479262672811,0.927272727272727
"Neg Pred Value",0.96046511627907,0.951420029895366,0.980635166537568,0.993087557603687,0.992879746835443,0.984555984555984,0.996904024767802
"Prevalence",0.151455026455026,0.132936507936508,0.147486772486772,0.136243386243386,0.154100529100529,0.14021164021164,0.137566137566138
"Detection Rate",0.117724867724868,0.0899470899470899,0.130952380952381,0.130291005291005,0.148148148148148,0.126984126984127,0.134920634920635
"Detection Prevalence",0.146825396825397,0.115079365079365,0.146164021164021,0.138888888888889,0.164021164021164,0.143518518518519,0.145502645502645
"Balanced Accuracy",0.871498977219739,0.823815704088254,0.935024543655004,0.973178310709347,0.9713043653337,0.943214804063861,0.984249646059462
