"","Class: C1","Class: C2","Class: C3","Class: C4","Class: C5","Class: C6","Class: C7"
"Sensitivity",0.794759825327511,0.706467661691542,0.874439461883408,0.956310679611651,0.96137339055794,0.891509433962264,0.985576923076923
"Specificity",0.970381917381138,0.973302822273074,0.978277734678045,0.990045941807044,0.982017200938233,0.978461538461538,0.990030674846626
"Pos Pred Value",0.827272727272727,0.80225988700565,0.874439461883408,0.938095238095238,0.906882591093117,0.870967741935484,0.940366972477064
"Neg Pred Value",0.963622291021672,0.955805243445693,0.978277734678045,0.993087557603687,0.992885375494071,0.982239382239382,0.997681607418856
"Prevalence",0.151455026455026,0.132936507936508,0.147486772486772,0.136243386243386,0.154100529100529,0.14021164021164,0.137566137566138
"Detection Rate",0.12037037037037,0.0939153439153439,0.128968253968254,0.130291005291005,0.148148148148148,0.125,0.135582010582011
"Detection Prevalence",0.145502645502645,0.117063492063492,0.147486772486772,0.138888888888889,0.163359788359788,0.143518518518519,0.144179894179894
"Balanced Accuracy",0.882570871354324,0.839885241982308,0.926358598280727,0.973178310709347,0.971695295748086,0.934985486211901,0.987803798961775
