"","Class: C1","Class: C2","Class: C3","Class: C4","Class: C5","Class: C6","Class: C7"
"Sensitivity",0.990497484628284,0.984347826086956,0.978858350951374,0.995901639344262,0.947242206235012,0.965,0.978448275862069
"Specificity",0.990598979317755,0.990757855822551,0.999206191704703,0.997722095671982,0.999607458292444,0.997652582159624,0.999801901743265
"Pos Pred Value",0.980630879911455,0.979803808424697,0.991434689507494,0.952941176470588,0.994962216624685,0.969849246231155,0.997802197802198
"Neg Pred Value",0.995411605937922,0.992855252712358,0.998017839444995,0.999809777439604,0.995698924731183,0.997262416894799,0.99802254300969
"Prevalence",0.324564586357039,0.312953555878084,0.0858127721335269,0.044267053701016,0.0756531204644412,0.0725689404934688,0.0841799709724238
"Detection Rate",0.321480406386067,0.308055152394775,0.0839985486211901,0.0440856313497823,0.0716618287373004,0.0700290275761974,0.0823657474600871
"Detection Prevalence",0.327830188679245,0.314404934687954,0.0847242380261248,0.0462626995645864,0.0720246734397678,0.0722060957910015,0.0825471698113208
"Balanced Accuracy",0.990548231973019,0.987552840954754,0.989032271328039,0.996811867508122,0.973424832263728,0.981326291079812,0.989125088802667
