"","Class: C1","Class: C2","Class: C3","Class: C4","Class: C5","Class: C6","Class: C7"
"Sensitivity",0.781659388646288,0.681592039800995,0.869955156950673,0.956310679611651,0.974248927038627,0.905660377358491,0.971153846153846
"Specificity",0.964146531566641,0.974065598779558,0.980605120248254,0.991577335375191,0.981235340109461,0.978461538461538,0.987730061349693
"Pos Pred Value",0.795555555555555,0.801169590643275,0.885844748858447,0.947115384615385,0.904382470119522,0.872727272727273,0.926605504587156
"Neg Pred Value",0.961149961149961,0.95227442207308,0.977571539056458,0.993098159509202,0.995241871530531,0.984520123839009,0.995363214837713
"Prevalence",0.151455026455026,0.132936507936508,0.147486772486772,0.136243386243386,0.154100529100529,0.14021164021164,0.137566137566138
"Detection Rate",0.118386243386243,0.0906084656084656,0.128306878306878,0.130291005291005,0.150132275132275,0.126984126984127,0.133597883597884
"Detection Prevalence",0.148809523809524,0.113095238095238,0.14484126984127,0.137566137566138,0.166005291005291,0.145502645502645,0.144179894179894
"Balanced Accuracy",0.872902960106464,0.827828819290276,0.925280138599464,0.973944007493421,0.977742133574044,0.942060957910015,0.97944195375177
