"","Class: C1","Class: C2","Class: C3","Class: C4","Class: C5","Class: C6","Class: C7"
"Sensitivity",0.992837465564738,0.986533957845433,0.963362068965517,1,0.96816976127321,0.98792270531401,0.97
"Specificity",0.989991885312415,0.992639327024185,0.999801901743265,0.997536945812808,0.999415774099318,0.999411533934876,1
"Pos Pred Value",0.979880369766177,0.983654407472271,0.997767857142857,0.947368421052631,0.991847826086956,0.992718446601942,1
"Neg Pred Value",0.996460658861966,0.993945775204001,0.996642969984202,1,0.997667185069985,0.999019607843137,0.997016112989855
"Prevalence",0.329281567489115,0.309869375907112,0.0841799709724238,0.0424528301886792,0.0683962264150943,0.0751088534107402,0.090711175616836
"Detection Rate",0.326923076923077,0.305696661828737,0.0810957910014514,0.0424528301886792,0.0662191582002903,0.0742017416545718,0.0879898403483309
"Detection Prevalence",0.333635703918723,0.31077648766328,0.081277213352685,0.044811320754717,0.0667634252539913,0.0747460087082729,0.0879898403483309
"Balanced Accuracy",0.991414675438577,0.989586642434809,0.981581985354391,0.998768472906404,0.983792767686264,0.993667119624443,0.985
