"","Class: C1","Class: C2","Class: C3","Class: C4","Class: C5","Class: C6","Class: C7"
"Sensitivity",0.777292576419214,0.706467661691542,0.883408071748879,0.956310679611651,0.957081545064378,0.900943396226415,0.990384615384615
"Specificity",0.97116134060795,0.97025171624714,0.979829325058185,0.989280245022971,0.981235340109461,0.980769230769231,0.990030674846626
"Pos Pred Value",0.827906976744186,0.784530386740331,0.883408071748879,0.933649289099526,0.902834008097166,0.884259259259259,0.940639269406393
"Neg Pred Value",0.960678488820355,0.955672426746807,0.979829325058185,0.993082244427364,0.992094861660079,0.983796296296296,0.998453209590101
"Prevalence",0.151455026455026,0.132936507936508,0.147486772486772,0.136243386243386,0.154100529100529,0.14021164021164,0.137566137566138
"Detection Rate",0.117724867724868,0.0939153439153439,0.130291005291005,0.130291005291005,0.147486772486772,0.126322751322751,0.136243386243386
"Detection Prevalence",0.142195767195767,0.119708994708995,0.147486772486772,0.139550264550265,0.163359788359788,0.142857142857143,0.14484126984127
"Balanced Accuracy",0.874226958513582,0.838359688969341,0.931618698403532,0.972795462317311,0.969158442586919,0.940856313497823,0.990207645115621
