"","Class: C1","Class: C2","Class: C3","Class: C4","Class: C5","Class: C6","Class: C7"
"Sensitivity",0.733668341708543,0.736842105263158,0.831818181818182,0.961352657004831,0.94170403587444,0.914163090128755,0.972850678733032
"Specificity",0.977151561309977,0.966999232540292,0.981424148606811,0.986973180076628,0.975950349107836,0.972634870992963,0.990704879938033
"Pos Pred Value",0.829545454545455,0.781725888324873,0.884057971014493,0.921296296296296,0.871369294605809,0.858870967741936,0.947136563876652
"Neg Pred Value",0.960329341317365,0.958174904942966,0.971647509578544,0.993827160493827,0.989771833202203,0.984177215189873,0.995330739299611
"Prevalence",0.131613756613757,0.138227513227513,0.145502645502645,0.136904761904762,0.147486772486772,0.154100529100529,0.146164021164021
"Detection Rate",0.0965608465608466,0.101851851851852,0.121031746031746,0.131613756613757,0.138888888888889,0.140873015873016,0.142195767195767
"Detection Prevalence",0.116402116402116,0.130291005291005,0.136904761904762,0.142857142857143,0.159391534391534,0.164021164021164,0.150132275132275
"Balanced Accuracy",0.85540995150926,0.851920668901725,0.906621165212496,0.97416291854073,0.958827192491138,0.943398980560859,0.981777779335532
