"","Class: C1","Class: C2","Class: C3","Class: C4","Class: C5","Class: C6","Class: C7"
"Sensitivity",0.994490358126722,0.982435597189696,0.974137931034483,1,0.962864721485411,0.985507246376812,0.968
"Specificity",0.988098458209359,0.993427970557308,0.999801901743265,0.997915877226222,0.999415774099318,0.999411533934876,0.999800478850758
"Pos Pred Value",0.976203353163872,0.985320023487963,0.997792494481236,0.955102040816328,0.991803278688524,0.992700729927008,0.997938144329897
"Neg Pred Value",0.997269997269997,0.992123917038593,0.997627989721289,1,0.997279440342013,0.99882376004705,0.996817187189178
"Prevalence",0.329281567489115,0.309869375907112,0.0841799709724238,0.0424528301886792,0.0683962264150943,0.0751088534107402,0.090711175616836
"Detection Rate",0.327467343976778,0.304426705370102,0.0820029027576197,0.0424528301886792,0.0658563134978229,0.0740203193033382,0.0878084179970972
"Detection Prevalence",0.33544992743106,0.308962264150943,0.0821843251088534,0.0444484760522496,0.066400580551524,0.0745645863570392,0.0879898403483309
"Balanced Accuracy",0.99129440816804,0.987931783873502,0.986969916388874,0.998957938613111,0.981140247792365,0.992459390155844,0.983900239425379
