"","Class: C1","Class: C2","Class: C3","Class: C4","Class: C5","Class: C6","Class: C7"
"Sensitivity",0.790393013100437,0.696517412935323,0.878923766816143,0.956310679611651,0.965665236051502,0.915094339622642,0.990384615384615
"Specificity",0.969602494154326,0.974065598779558,0.981380915438324,0.989280245022971,0.982799061767005,0.980769230769231,0.988496932515337
"Pos Pred Value",0.822727272727273,0.804597701149425,0.890909090909091,0.933649289099526,0.910931174089069,0.885844748858447,0.932126696832579
"Neg Pred Value",0.962848297213622,0.95440956651719,0.979102167182663,0.993082244427364,0.993675889328063,0.986078886310905,0.998450813323005
"Prevalence",0.151455026455026,0.132936507936508,0.147486772486772,0.136243386243386,0.154100529100529,0.14021164021164,0.137566137566138
"Detection Rate",0.119708994708995,0.0925925925925926,0.12962962962963,0.130291005291005,0.148809523809524,0.128306878306878,0.136243386243386
"Detection Prevalence",0.145502645502645,0.115079365079365,0.145502645502645,0.139550264550265,0.163359788359788,0.14484126984127,0.146164021164021
"Balanced Accuracy",0.879997753627381,0.83529150585744,0.930152341127234,0.972795462317311,0.974232148909254,0.947931785195936,0.989440773949976
