"","Class: C1","Class: C2","Class: C3","Class: C4","Class: C5","Class: C6","Class: C7"
"Sensitivity",0.781659388646288,0.711442786069652,0.89237668161435,0.961165048543689,0.965665236051502,0.915094339622642,0.985576923076923
"Specificity",0.97116134060795,0.971777269260107,0.983708301008534,0.990045941807044,0.982017200938233,0.981538461538462,0.989263803680982
"Pos Pred Value",0.828703703703704,0.794444444444444,0.904545454545455,0.938388625592417,0.907258064516129,0.889908256880734,0.93607305936073
"Neg Pred Value",0.96141975308642,0.956456456456456,0.981424148606811,0.993850883935434,0.993670886075949,0.986089644513138,0.997679814385151
"Prevalence",0.151455026455026,0.132936507936508,0.147486772486772,0.136243386243386,0.154100529100529,0.14021164021164,0.137566137566138
"Detection Rate",0.118386243386243,0.0945767195767196,0.131613756613757,0.130952380952381,0.148809523809524,0.128306878306878,0.135582010582011
"Detection Prevalence",0.142857142857143,0.119047619047619,0.145502645502645,0.139550264550265,0.164021164021164,0.144179894179894,0.14484126984127
"Balanced Accuracy",0.876410364627119,0.841610027664879,0.938042491311442,0.975605495175367,0.973841218494867,0.948316400580552,0.987420363378952
