"","Class: C1","Class: C2","Class: C3","Class: C4","Class: C5","Class: C6","Class: C7"
"Sensitivity",0.98732782369146,0.981264637002342,0.97198275862069,0.991452991452991,0.931034482758621,0.985507246376812,0.972
"Specificity",0.987827968623208,0.989221871713985,0.999405705229794,0.997726411519515,0.999610516066212,0.999019223224794,0.998403830806065
"Pos Pred Value",0.97550353837779,0.976121141525917,0.993392070484582,0.950819672131149,0.994334277620397,0.987893462469734,0.983805668016194
"Neg Pred Value",0.99374149659864,0.991567852437418,0.997429814155793,0.999620349278664,0.99496026361698,0.998823298686017,0.997210043842168
"Prevalence",0.329281567489115,0.309869375907112,0.0841799709724238,0.0424528301886792,0.0683962264150943,0.0751088534107402,0.090711175616836
"Detection Rate",0.32510885341074,0.304063860667634,0.0818214804063861,0.0420899854862119,0.0636792452830189,0.0740203193033382,0.0881712626995646
"Detection Prevalence",0.333272859216255,0.311502177068215,0.0823657474600871,0.044267053701016,0.0640420899854862,0.0749274310595065,0.089622641509434
"Balanced Accuracy",0.987577896157334,0.985243254358164,0.985694231925242,0.994589701486253,0.965322499412417,0.992263234800803,0.985201915403033
