"","Class: C1","Class: C2","Class: C3","Class: C4","Class: C5","Class: C6","Class: C7"
"Sensitivity",0.991184573002755,0.982435597189696,0.96551724137931,1,0.960212201591512,0.98792270531401,0.972
"Specificity",0.988639437381661,0.991324921135647,0.999603803486529,0.997915877226222,0.999221032132425,0.999215378579835,1
"Pos Pred Value",0.977186311787072,0.980713033313852,0.995555555555556,0.955102040816328,0.989071038251366,0.990314769975787,1
"Neg Pred Value",0.995641514573686,0.992107340173638,0.996839193994469,1,0.997085114652157,0.999019415571681,0.997214484679666
"Prevalence",0.329281567489115,0.309869375907112,0.0841799709724238,0.0424528301886792,0.0683962264150943,0.0751088534107402,0.090711175616836
"Detection Rate",0.326378809869376,0.304426705370102,0.081277213352685,0.0424528301886792,0.0656748911465893,0.0742017416545718,0.0881712626995646
"Detection Prevalence",0.33399854862119,0.310413642960813,0.0816400580551524,0.0444484760522496,0.066400580551524,0.0749274310595065,0.0881712626995646
"Balanced Accuracy",0.989912005192208,0.986880259162671,0.98256052243292,0.998957938613111,0.979716616861968,0.993569041946922,0.986
