"","Class: C1","Class: C2","Class: C3","Class: C4","Class: C5","Class: C6","Class: C7"
"Sensitivity",0.777292576419214,0.711442786069652,0.887892376681614,0.956310679611651,0.965665236051502,0.915094339622642,0.985576923076923
"Specificity",0.970381917381138,0.971777269260107,0.982156710628394,0.990045941807044,0.981235340109461,0.982307692307692,0.989263803680982
"Pos Pred Value",0.824074074074074,0.794444444444444,0.895927601809955,0.938095238095238,0.903614457831325,0.894009216589862,0.93607305936073
"Neg Pred Value",0.960648148148148,0.956456456456456,0.980635166537568,0.993087557603687,0.993665874901029,0.986100386100386,0.997679814385151
"Prevalence",0.151455026455026,0.132936507936508,0.147486772486772,0.136243386243386,0.154100529100529,0.14021164021164,0.137566137566138
"Detection Rate",0.117724867724868,0.0945767195767196,0.130952380952381,0.130291005291005,0.148809523809524,0.128306878306878,0.135582010582011
"Detection Prevalence",0.142857142857143,0.119047619047619,0.146164021164021,0.138888888888889,0.16468253968254,0.143518518518519,0.14484126984127
"Balanced Accuracy",0.873837246900176,0.841610027664879,0.935024543655004,0.973178310709347,0.973450288080481,0.948701015965167,0.987420363378952
