"","Class: C1","Class: C2","Class: C3","Class: C4","Class: C5","Class: C6","Class: C7"
"Sensitivity",0.992837465564738,0.983606557377049,0.967672413793103,1,0.960212201591512,0.98792270531401,0.968
"Specificity",0.988639437381661,0.991850683491062,0.999603803486529,0.997915877226222,0.999221032132425,0.999607689289918,1
"Pos Pred Value",0.977223427331887,0.98188194038574,0.995565410199557,0.955102040816328,0.989071038251366,0.995133819951338,1
"Neg Pred Value",0.996455834242094,0.992633517495396,0.997036158861885,1,0.997085114652157,0.999019800039208,0.996817820206842
"Prevalence",0.329281567489115,0.309869375907112,0.0841799709724238,0.0424528301886792,0.0683962264150943,0.0751088534107402,0.090711175616836
"Detection Rate",0.326923076923077,0.304789550072569,0.0814586357039187,0.0424528301886792,0.0656748911465893,0.0742017416545718,0.0878084179970972
"Detection Prevalence",0.334542815674891,0.310413642960813,0.0818214804063861,0.0444484760522496,0.066400580551524,0.0745645863570392,0.0878084179970972
"Balanced Accuracy",0.9907384514732,0.987728620434056,0.983638108639816,0.998957938613111,0.979716616861968,0.993765197301964,0.984
