"","Class: C1","Class: C2","Class: C3","Class: C4","Class: C5","Class: C6","Class: C7"
"Sensitivity",0.981132075471698,0.973653395784543,0.942505133470226,0.90625,0.837270341207349,0.953161592505855,0.89365671641791
"Specificity",0.975019930906192,0.976603575184017,0.994825870646766,0.996596066565809,0.999025531085558,0.995280235988201,0.997990353697749
"Pos Pred Value",0.948066298342542,0.949200913242009,0.94639175257732,0.918552036199094,0.984567901234568,0.94431554524362,0.979550102249489
"Neg Pred Value",0.991085899513776,0.988031914893617,0.994430077581062,0.996030996030996,0.98804934464148,0.996063766975005,0.98865219988055
"Prevalence",0.317307692307692,0.309869375907112,0.0883526850507983,0.0406386066763425,0.069121915820029,0.0774673439767779,0.0972423802612482
"Detection Rate",0.311320754716981,0.301705370101597,0.0832728592162554,0.0368287373004354,0.0578737300435414,0.0738388969521045,0.0869013062409289
"Detection Prevalence",0.328374455732946,0.317851959361393,0.0879898403483309,0.0400943396226415,0.0587808417997097,0.0781930333817126,0.0887155297532656
"Balanced Accuracy",0.978076003188945,0.97512848548428,0.968665502058496,0.951423033282905,0.918147936146454,0.974220914247028,0.94582353505783
