"","Class: C1","Class: C2","Class: C3","Class: C4","Class: C5","Class: C6","Class: C7"
"Sensitivity",0.743718592964824,0.736842105263158,0.768181818181818,0.966183574879227,0.914798206278027,0.875536480686695,0.972850678733032
"Specificity",0.976389946686976,0.965464313123561,0.976006191950464,0.983141762452107,0.976726144297905,0.962470680218921,0.99147947327653
"Pos Pred Value",0.826815642458101,0.773869346733668,0.845,0.900900900900901,0.871794871794872,0.809523809523809,0.951327433628319
"Neg Pred Value",0.961740435108777,0.958111195734958,0.961128048780488,0.994573643410853,0.985133020344288,0.976984126984127,0.995334370139969
"Prevalence",0.131613756613757,0.138227513227513,0.145502645502645,0.136904761904762,0.147486772486772,0.154100529100529,0.146164021164021
"Detection Rate",0.0978835978835979,0.101851851851852,0.111772486772487,0.132275132275132,0.134920634920635,0.134920634920635,0.142195767195767
"Detection Prevalence",0.118386243386243,0.131613756613757,0.132275132275132,0.146825396825397,0.154761904761905,0.166666666666667,0.149470899470899
"Balanced Accuracy",0.8600542698259,0.851153209193359,0.872094005066141,0.974662668665667,0.945762175287966,0.919003580452808,0.982165076004781
