"","Class: C1","Class: C2","Class: C3","Class: C4","Class: C5","Class: C6","Class: C7"
"Sensitivity",0.910234419668382,0.92096018735363,0.737166324435318,0.90625,0.83989501312336,0.831381733021077,0.701492537313433
"Specificity",0.932766409779431,0.947423764458465,0.992835820895522,0.996406959152799,0.988696160592477,0.980334316617502,0.986334405144695
"Pos Pred Value",0.862872628726287,0.887196841511562,0.908860759493671,0.914414414414414,0.846560846560847,0.78021978021978,0.846846846846847
"Neg Pred Value",0.957185710389965,0.963894089328697,0.974985342974399,0.996030245746692,0.988118426178418,0.985762309669765,0.968429360694554
"Prevalence",0.317307692307692,0.309869375907112,0.0883526850507983,0.0406386066763425,0.069121915820029,0.0774673439767779,0.0972423802612482
"Detection Rate",0.288824383164006,0.285377358490566,0.0651306240928883,0.0368287373004354,0.058055152394775,0.0644049346879536,0.0682148040638607
"Detection Prevalence",0.334724238026125,0.3216618287373,0.0716618287373004,0.0402757619738752,0.068577648766328,0.0825471698113208,0.0805515239477504
"Balanced Accuracy",0.921500414723907,0.934191975906047,0.86500107266542,0.951328479576399,0.914295586857918,0.90585802481929,0.843913471229064
