"","Class: C1","Class: C2","Class: C3","Class: C4","Class: C5","Class: C6","Class: C7"
"Sensitivity",0.786026200873362,0.711442786069652,0.89237668161435,0.956310679611651,0.969957081545064,0.891509433962264,0.985576923076923
"Specificity",0.970381917381138,0.974828375286041,0.978277734678045,0.989280245022971,0.982799061767005,0.982307692307692,0.988496932515337
"Pos Pred Value",0.825688073394496,0.8125,0.876651982378855,0.933649289099526,0.911290322580645,0.891509433962264,0.931818181818182
"Neg Pred Value",0.962132921174652,0.956586826347305,0.981322957198444,0.993082244427364,0.994462025316456,0.982307692307692,0.997678018575851
"Prevalence",0.151455026455026,0.132936507936508,0.147486772486772,0.136243386243386,0.154100529100529,0.14021164021164,0.137566137566138
"Detection Rate",0.119047619047619,0.0945767195767196,0.131613756613757,0.130291005291005,0.149470899470899,0.125,0.135582010582011
"Detection Prevalence",0.144179894179894,0.116402116402116,0.150132275132275,0.139550264550265,0.164021164021164,0.14021164021164,0.145502645502645
"Balanced Accuracy",0.87820405912725,0.843135580677846,0.935327208146197,0.972795462317311,0.976378071656035,0.936908563134978,0.98703692779613
