"","Class: C1","Class: C2","Class: C3","Class: C4","Class: C5","Class: C6","Class: C7"
"Sensitivity",0.768558951965066,0.686567164179104,0.878923766816143,0.956310679611651,0.96137339055794,0.900943396226415,0.985576923076923
"Specificity",0.966484801247077,0.971014492753623,0.980605120248254,0.990045941807044,0.982017200938233,0.98,0.986963190184049
"Pos Pred Value",0.80365296803653,0.784090909090909,0.886877828054298,0.938095238095238,0.906882591093117,0.880184331797235,0.923423423423424
"Neg Pred Value",0.959010054137664,0.952844311377246,0.979085979860573,0.993087557603687,0.992885375494071,0.983783783783784,0.997674418604651
"Prevalence",0.151455026455026,0.132936507936508,0.147486772486772,0.136243386243386,0.154100529100529,0.14021164021164,0.137566137566138
"Detection Rate",0.116402116402116,0.0912698412698413,0.12962962962963,0.130291005291005,0.148148148148148,0.126322751322751,0.135582010582011
"Detection Prevalence",0.14484126984127,0.116402116402116,0.146164021164021,0.138888888888889,0.163359788359788,0.143518518518519,0.146825396825397
"Balanced Accuracy",0.867521876606071,0.828790828466364,0.929764443532199,0.973178310709347,0.971695295748086,0.940471698113208,0.986270056630486
