"","Class: C1","Class: C2","Class: C3","Class: C4","Class: C5","Class: C6","Class: C7"
"Sensitivity",0.961120640365923,0.975995316159251,0.91170431211499,0.977678571428571,0.708661417322835,0.936768149882904,0.774253731343284
"Specificity",0.958543715120914,0.955047318611987,0.997213930348259,0.997352496217852,0.999025531085558,0.995083579154376,0.993770096463023
"Pos Pred Value",0.915078933043005,0.9069640914037,0.96943231441048,0.939914163090128,0.981818181818182,0.941176470588235,0.930493273542601
"Neg Pred Value",0.981496598639456,0.988840500816549,0.991491887613771,0.999052850918735,0.978804659156005,0.994692353056811,0.976115278326096
"Prevalence",0.317307692307692,0.309869375907112,0.0883526850507983,0.0406386066763425,0.069121915820029,0.0774673439767779,0.0972423802612482
"Detection Rate",0.304970972423803,0.302431059506531,0.0805515239477504,0.0397314949201742,0.0489840348330914,0.0725689404934688,0.0752902757619739
"Detection Prevalence",0.333272859216255,0.333454281567489,0.0830914368650218,0.0422714078374456,0.0498911465892598,0.0771044992743106,0.0809143686502177
"Balanced Accuracy",0.959832177743419,0.965521317385619,0.954459121231624,0.987515533823212,0.853843474204196,0.96592586451864,0.884011913903153
