"","Class: C1","Class: C2","Class: C3","Class: C4","Class: C5","Class: C6","Class: C7"
"Sensitivity",0.992837465564738,0.98536299765808,0.97198275862069,1,0.960212201591512,0.983091787439614,0.974
"Specificity",0.989991885312415,0.992639327024185,0.999405705229794,0.997536945812808,0.999610516066212,0.999607689289918,0.999800478850758
"Pos Pred Value",0.979880369766177,0.983635300993571,0.993392070484582,0.947368421052631,0.994505494505495,0.995110024449878,0.997950819672131
"Neg Pred Value",0.996460658861966,0.993422783478032,0.997429814155793,1,0.997086247086247,0.998628257887517,0.997412420382166
"Prevalence",0.329281567489115,0.309869375907112,0.0841799709724238,0.0424528301886792,0.0683962264150943,0.0751088534107402,0.090711175616836
"Detection Rate",0.326923076923077,0.30533381712627,0.0818214804063861,0.0424528301886792,0.0656748911465893,0.0738388969521045,0.0883526850507983
"Detection Prevalence",0.333635703918723,0.310413642960813,0.0823657474600871,0.044811320754717,0.0660377358490566,0.0742017416545718,0.0885341074020319
"Balanced Accuracy",0.991414675438577,0.989001162341132,0.985694231925242,0.998768472906404,0.979911358828862,0.991349738364766,0.986900239425379
