"","Class: C1","Class: C2","Class: C3","Class: C4","Class: C5","Class: C6","Class: C7"
"Sensitivity",0.991184573002755,0.984192037470726,0.969827586206897,1,0.96816976127321,0.98792270531401,0.968
"Specificity",0.988639437381661,0.992639327024185,0.999603803486529,0.998105342932929,0.999026290165531,0.999411533934876,1
"Pos Pred Value",0.977186311787072,0.983616149795202,0.995575221238938,0.959016393442624,0.986486486486487,0.992718446601942,1
"Neg Pred Value",0.995641514573686,0.992900341835393,0.997233201581028,1,0.997666277712952,0.999019607843137,0.996817820206842
"Prevalence",0.329281567489115,0.309869375907112,0.0841799709724238,0.0424528301886792,0.0683962264150943,0.0751088534107402,0.090711175616836
"Detection Rate",0.326378809869376,0.304970972423803,0.0816400580551524,0.0424528301886792,0.0662191582002903,0.0742017416545718,0.0878084179970972
"Detection Prevalence",0.33399854862119,0.310050798258345,0.0820029027576197,0.044267053701016,0.0671262699564586,0.0747460087082729,0.0878084179970972
"Balanced Accuracy",0.989912005192208,0.988415682247456,0.984715694846713,0.999052671466465,0.98359802571937,0.993667119624443,0.984
