"","Class: 1","Class: 2","Class: 3","Class: 4","Class: 5","Class: 6","Class: 7"
"Sensitivity",0.765625,0.679245283018868,0.73728813559322,0.961702127659574,0.947619047619048,0.84549356223176,0.945544554455445
"Specificity",0.961596385542169,0.964067278287462,0.972741433021807,0.988326848249027,0.981679389312977,0.956487956487956,0.98937784522003
"Pos Pred Value",0.742424242424242,0.753926701570681,0.832535885167464,0.937759336099585,0.892376681614349,0.778656126482213,0.931707317073171
"Neg Pred Value",0.965960665658094,0.948833709556057,0.952707856598017,0.992963252541048,0.991518889745567,0.971586424625099,0.991634980988593
"Prevalence",0.126315789473684,0.139473684210526,0.155263157894737,0.154605263157895,0.138157894736842,0.153289473684211,0.132894736842105
"Detection Rate",0.0967105263157895,0.0947368421052632,0.114473684210526,0.148684210526316,0.130921052631579,0.129605263157895,0.125657894736842
"Detection Prevalence",0.130263157894737,0.125657894736842,0.1375,0.158552631578947,0.146710526315789,0.166447368421053,0.134868421052632
"Balanced Accuracy",0.863610692771084,0.821656280653165,0.855014784307514,0.975014487954301,0.964649218466012,0.900990759359858,0.967461199837738
