"","Class: 1","Class: 2","Class: 3","Class: 4","Class: 5","Class: 6","Class: 7"
"Sensitivity",0.770833333333333,0.726415094339623,0.703389830508475,0.936170212765957,0.923809523809524,0.815450643776824,0.905940594059406
"Specificity",0.962349397590361,0.935015290519878,0.966510903426791,0.989105058365759,0.985496183206107,0.96037296037296,0.997723823975721
"Pos Pred Value",0.747474747474747,0.644351464435146,0.794258373205741,0.94017094017094,0.910798122065728,0.788381742738589,0.983870967741935
"Neg Pred Value",0.966717095310136,0.95472287275566,0.946605644546148,0.988335925349922,0.987758224942617,0.966379984362783,0.98575712143928
"Prevalence",0.126315789473684,0.139473684210526,0.155263157894737,0.154605263157895,0.138157894736842,0.153289473684211,0.132894736842105
"Detection Rate",0.0973684210526316,0.101315789473684,0.109210526315789,0.144736842105263,0.127631578947368,0.125,0.120394736842105
"Detection Prevalence",0.130263157894737,0.157236842105263,0.1375,0.153947368421053,0.140131578947368,0.158552631578947,0.122368421052632
"Balanced Accuracy",0.866591365461847,0.83071519242975,0.834950366967633,0.962637635565858,0.954652853507815,0.887911802074892,0.951832209017563
