"","Class: 1","Class: 2","Class: 3","Class: 4","Class: 5","Class: 6","Class: 7"
"Sensitivity",0.791666666666667,0.726415094339623,0.694915254237288,0.936170212765957,0.928571428571429,0.815450643776824,0.915841584158416
"Specificity",0.963102409638554,0.943425076452599,0.968068535825545,0.986770428015564,0.984732824427481,0.958818958818959,0.995447647951442
"Pos Pred Value",0.756218905472637,0.675438596491228,0.8,0.928270042194093,0.906976744186046,0.781893004115226,0.968586387434555
"Neg Pred Value",0.969673995451099,0.955108359133127,0.945247148288973,0.988308651597818,0.988505747126437,0.966327329678935,0.987208427389014
"Prevalence",0.126315789473684,0.139473684210526,0.155263157894737,0.154605263157895,0.138157894736842,0.153289473684211,0.132894736842105
"Detection Rate",0.1,0.101315789473684,0.107894736842105,0.144736842105263,0.128289473684211,0.125,0.121710526315789
"Detection Prevalence",0.132236842105263,0.15,0.134868421052632,0.155921052631579,0.141447368421053,0.159868421052632,0.125657894736842
"Balanced Accuracy",0.87738453815261,0.834920085396111,0.831491895031417,0.961470320390761,0.956652126499455,0.887134801297891,0.955644616054929
